n,condition_2,iterations,converged,relative_residual_2,residual_2,solution_error_inf,direct_solution_error_inf
4,1.2389653420567619e+05,5,1,2.3380712453559433e-13,1.1506315487384315e-13,3.4078295740869180e-12,2.4639734697018412e-12
6,1.6708589871650815e+08,7,1,5.7292749629929798e-13,4.0528466267752448e-13,5.1059997540903179e-05,2.9985236515983615e-11
8,2.0512402065299673e+11,6,1,4.2413353665506342e-11,3.8133031726215445e-11,1.5733884089164096e-04,2.0748553963834127e-06
10,2.4236030969656691e+14,8,1,2.0339843451835148e-11,2.1825016245667798e-11,4.9982831492378921e-05,6.9064340653474110e-04
12,5.4267482246267808e+17,8,1,5.0617605912428804e-12,6.2417798890207259e-12,8.6952073193369284e-05,7.6621291612611220e-01
