case,degree,plain_power_root,plain_power_converged,plain_power_iterations,plain_power_abs_f,plain_power_scaled_residual,plain_power_matrix_rel_residual,plain_power_reason,reported_root,reported_abs_f,reported_scaled_residual,reported_matrix_rel_residual,reported_source,reference_modulus,selected_reference_root,all_reference_roots
(i),3,-3.000000000000693,1,65,1.1084466677857563e-11,2.0526790144170663e-13,1.0302869668521453e-13,converged,-3.000000000000693,1.1084466677857563e-11,2.0526790144170663e-13,1.0302869668521453e-13,plain power,3.0000000000000009e+00,-3.000000000000001,-3.000000000000001; 0.9999999999999997+1.808519356514378e-08i; 0.9999999999999997-1.808519356514378e-08i
(ii),3,1.879385241571022,1,136,6.0378368971214513e-12,4.5478270980040788e-13,3.6065594954948215e-13,converged,1.879385241571022,6.0378368971214513e-12,4.5478270980040788e-13,3.6065594954948215e-13,plain power,1.8793852415718169e+00,1.879385241571817,1.879385241571817; -1.532088886237956; -0.3472963553338608
(iii),8,-99.99999999999892,1,15,1.0809595318365666e+02,5.2941550036436942e-15,5.3518776150768435e-18,converged,-99.99999999999892,1.0809595318365666e+02,5.2941550036436942e-15,5.3518776150768435e-18,plain power,1.0000000000000009e+02,-100.0000000000001,-100.0000000000001; 10.00000000000001i; -10.00000000000001i; -1.000000000000002+3.000000000000003i; -1.000000000000002-3.000000000000003i; 1; 0.09999999999999999i; -0.09999999999999999i
