n,index,eigenvalue,residual,exact_eigenvalue,eigenvector
50,11,2.4418388509486579e+00,5.8388479236744687e-14,2.4418388509486588e+00,-1.2414941320782182e-01;1.9344479233817835e-01;-1.7726874669969439e-01;8.2768481710168026e-02;4.8302114132718191e-02;-1.5803095936887104e-01;1.9793558710326351e-01;-1.5038458246999417e-01;3.6387826717885069e-02;9.3686484579885043e-02;-1.8236646718143976e-01;1.9046985947179104e-01;-1.1441626791300001e-01;-1.2190875990264199e-02;1.3341161725418377e-01;-1.9568592284721023e-01;1.7149858514240546e-01;-7.1536509639202731e-02;-6.0033175083821687e-02;1.6507787070933544e-01;-1.9718474962337154e-01;1.4216774533907386e-01;-2.4335507812471357e-02;-1.0424910252336290e-01;1.8677240918787841e-01;-1.8677240918782928e-01;1.0424910252342097e-01;2.4335507812460355e-02;-1.4216774533926216e-01;1.9718474962322191e-01;-1.6507787070914051e-01;6.0033175084100741e-02;7.1536509639169313e-02;-1.7149858514265007e-01;1.9568592284703137e-01;-1.3341161725410572e-01;1.2190875990536240e-02;1.1441626791308243e-01;-1.9046985947198489e-01;1.8236646718131669e-01;-9.3686484579830989e-02;-3.6387826717835178e-02;1.5038458246999131e-01;-1.9793558710323586e-01;1.5803095936895320e-01;-4.8302114132722999e-02;-8.2768481710341915e-02;1.7726874669958073e-01;-1.9344479233803158e-01;1.2414941320804675e-01
50,12,2.5219821655586845e+00,8.1895138818547749e-14,2.5219821655586818e+00,-1.3341161725286316e-01;1.9718474962149021e-01;-1.5803095936800740e-01;3.6387826718253129e-02;1.0424910252176564e-01;-1.9046985946990413e-01;1.7726874669866263e-01;-7.1536509639948759e-02;-7.1536509637018894e-02;1.7726874669727716e-01;-1.9046985947059508e-01;1.0424910252393874e-01;3.6387826715613955e-02;-1.5803095936666769e-01;1.9718474962218796e-01;-1.3341161725479941e-01;2.2831769262444139e-12;1.3341161725161144e-01;-1.9718474962178897e-01;1.5803095936929407e-01;-3.6387826719726110e-02;-1.0424910252128235e-01;1.9046985947076869e-01;-1.7726874670017884e-01;7.1536509641054527e-02;7.1536509637036824e-02;-1.7726874669846657e-01;1.9046985947239614e-01;-1.0424910252483315e-01;-3.6387826716231725e-02;1.5803095936839945e-01;-1.9718474962450289e-01;1.3341161725614134e-01;-1.6668123987375814e-12;-1.3341161725376527e-01;1.9718474962438151e-01;-1.5803095937086362e-01;3.6387826719435697e-02;1.0424910252331111e-01;-1.9046985947333825e-01;1.7726874670186896e-01;-7.1536509640924686e-02;-7.1536509639082674e-02;1.7726874670099405e-01;-1.9046985947414630e-01;1.0424910252496562e-01;3.6387826717953133e-02;-1.5803095937050862e-01;1.9718474962570681e-01;-1.3341161725593220e-01
50,13,2.6077321080741473e+00,1.0212201454843732e-13,2.6077321080741469e+00,-1.4216774534081922e-01;1.9793558710547524e-01;-1.3341161725588863e-01;-1.2190875989837785e-02;1.5038458247097716e-01;-1.9718474962555074e-01;1.2414941321010103e-01;2.4335507811443863e-02;-1.5803095936944583e-01;1.9568592284842154e-01;-1.1441626791454927e-01;-3.6387826717075272e-02;1.6507787070995464e-01;-1.9344479234034564e-01;1.0424910252578218e-01;4.8302114131225371e-02;-1.7149858514254504e-01;1.9046985947320100e-01;-9.3686484582066520e-02;-6.0033175082168759e-02;1.7726874669930912e-01;-1.8677240918922891e-01;8.2768481712464564e-02;7.1536509637127210e-02;-1.8236646718023897e-01;1.8236646718187066e-01;-7.1536509641155974e-02;-8.2768481708131808e-02;1.8677240918677940e-01;-1.7726874669983997e-01;6.0033175085228291e-02;9.3686484578200405e-02;-1.9046985947068362e-01;1.7149858514295901e-01;-4.8302114134659957e-02;-1.0424910252088086e-01;1.9344479233634210e-01;-1.6507787070865979e-01;3.6387826718836981e-02;1.1441626791095241e-01;-1.9568592284510353e-01;1.5803095936837391e-01;-2.4335507813429448e-02;-1.2414941320582494e-01;1.9718474962098831e-01;-1.5038458246834990e-01;1.2190875990397469e-02;1.3341161725258943e-01;-1.9793558710130987e-01;1.4216774533801843e-01
50,14,2.6987633995915159e+00,7.6438855245442028e-14,2.6987633995915155e+00,1.5038458247011158e-01;-1.9568592284704711e-01;1.0424910252318118e-01;6.0033175083940252e-02;-1.8236646718136015e-01;1.7726874669974729e-01;-4.8302114132801860e-02;-1.1441626791312000e-01;1.9718474962340554e-01;-1.4216774533919502e-01;-1.2190875990410613e-02;1.5803095936875813e-01;-1.9344479233804621e-01;9.3686484579904736e-02;7.1536509639196930e-02;-1.8677240918784924e-01;1.7149858514246405e-01;-3.6387826717757768e-02;-1.2414941320807674e-01;1.9793558710314069e-01;-1.3341161725420775e-01;-2.4335507812313171e-02;1.6507787070939292e-01;-1.9046985947206604e-01;8.2768481710170858e-02;8.2768481710194533e-02;-1.9046985947181758e-01;1.6507787070909138e-01;-2.4335507812554849e-02;-1.3341161725403278e-01;1.9793558710335443e-01;-1.2414941320785422e-01;-3.6387826718078158e-02;1.7149858514244470e-01;-1.8677240918788685e-01;7.1536509639250762e-02;9.3686484579876550e-02;-1.9344479233809869e-01;1.5803095936909969e-01;-1.2190875990458176e-02;-1.4216774533931867e-01;1.9718474962307364e-01;-1.1441626791294458e-01;-4.8302114132622212e-02;1.7726874669957110e-01;-1.8236646718131272e-01;6.0033175083984223e-02;1.0424910252347069e-01;-1.9568592284733471e-01;1.5038458246985259e-01
50,15,2.7947307272414874e+00,1.2639889135357407e-13,2.7947307272414874e+00,1.5803095936873213e-01;-1.9046985947194164e-01;7.1536509639432255e-02;1.0424910252293433e-01;-1.9718474962266380e-01;1.3341161725429243e-01;3.6387826717663184e-02;-1.7726874669953577e-01;1.7726874669953596e-01;-3.6387826717786488e-02;-1.3341161725416201e-01;1.9718474962378402e-01;-1.0424910252391177e-01;-7.1536509639100521e-02;1.9046985947221293e-01;-1.5803095936926093e-01;1.2430652023075883e-13;1.5803095936864769e-01;-1.9046985947193648e-01;7.1536509639043816e-02;1.0424910252395531e-01;-1.9718474962346672e-01;1.3341161725368317e-01;3.6387826718158205e-02;-1.7726874670007225e-01;1.7726874669994927e-01;-3.6387826717638863e-02;-1.3341161725406156e-01;1.9718474962309032e-01;-1.0424910252322983e-01;-7.1536509639007109e-02;1.9046985947143000e-01;-1.5803095936831968e-01;-1.0542103558939831e-13;1.5803095936897266e-01;-1.9046985947165904e-01;7.1536509639093665e-02;1.0424910252323125e-01;-1.9718474962336249e-01;1.3341161725456019e-01;3.6387826717324240e-02;-1.7726874669938697e-01;1.7726874669968479e-01;-3.6387826718125314e-02;-1.3341161725390902e-01;1.9718474962308466e-01;-1.0424910252362561e-01;-7.1536509639465229e-02;1.9046985947249903e-01;-1.5803095936905417e-01
50,16,2.8952700540789862e+00,4.5001039931473010e-14,2.8952700540789884e+00,-1.6507787070945890e-01;1.8236646718158542e-01;-3.6387826717590346e-02;-1.4216774533949980e-01;1.9344479233803291e-01;-7.1536509638933751e-02;-1.1441626791318639e-01;1.9793558710306575e-01;-1.0424910252311555e-01;-8.2768481710198821e-02;1.9568592284682285e-01;-1.3341161725405182e-01;-4.8302114132446457e-02;1.8677240918763149e-01;-1.5803095936898412e-01;-1.2190875990129033e-02;1.7149858514235655e-01;-1.7726874669989315e-01;2.4335507812666263e-02;1.5038458247018704e-01;-1.9046985947211517e-01;6.0033175084052190e-02;1.2414941320813808e-01;-1.9718474962354526e-01;9.3686484579700899e-02;9.3686484580090226e-02;-1.9718474962327648e-01;1.2414941320774024e-01;6.0033175084127234e-02;-1.9046985947179348e-01;1.5038458246977471e-01;2.4335507812482404e-02;-1.7726874669941728e-01;1.7149858514241595e-01;-1.2190875990523624e-02;-1.5803095936880851e-01;1.8677240918785534e-01;-4.8302114132899893e-02;-1.3341161725400952e-01;1.9568592284729652e-01;-8.2768481710368061e-02;-1.0424910252342752e-01;1.9793558710327111e-01;-1.1441626791306747e-01;-7.1536509639307258e-02;1.9344479233820708e-01;-1.4216774533906479e-01;-3.6387826717937423e-02;1.8236646718135469e-01;-1.6507787070919974e-01
50,17,2.9999999999999987e+00,7.7718207646132412e-14,2.9999999999999996e+00,1.7149858514221600e-01;-1.7149858514256039e-01;2.8986391455333448e-13;1.7149858514266939e-01;-1.7149858514258531e-01;-2.6136026690785008e-14;1.7149858514257782e-01;-1.7149858514260824e-01;-1.6118461686777078e-13;1.7149858514256766e-01;-1.7149858514234215e-01;-5.9564673405924786e-14;1.7149858514227306e-01;-1.7149858514253005e-01;2.6649459335798751e-13;1.7149858514272986e-01;-1.7149858514257185e-01;-1.3888984486023639e-13;1.7149858514253108e-01;-1.7149858514240271e-01;-2.7283727110223372e-14;1.7149858514240787e-01;-1.7149858514250532e-01;-1.3247391374330040e-14;1.7149858514235408e-01;-1.7149858514259622e-01;2.5007376388821689e-13;1.7149858514276814e-01;-1.7149858514264293e-01;-2.5491288278406695e-13;1.7149858514261038e-01;-1.7149858514223179e-01;-3.7646437547579126e-14;1.7149858514226798e-01;-1.7149858514256827e-01;3.6061011252682303e-14;1.7149858514237204e-01;-1.7149858514258093e-01;1.9515726481970765e-13;1.7149858514267560e-01;-1.7149858514267785e-01;-1.8002396295790721e-13;1.7149858514268657e-01;-1.7149858514224300e-01;-3.1649161516439810e-14;1.7149858514225400e-01;-1.7149858514262045e-01;5.2633775439240990e-14;1.7149858514252331e-01;-1.7149858514256403e-01
50,18,3.1085232884469236e+00,5.5918233006953720e-14,3.1085232884469236e+00,1.7726874670005352e-01;-1.5803095936924191e-01;-3.6387826717935133e-02;1.9046985947223513e-01;-1.3341161725446019e-01;-7.1536509639175586e-02;1.9718474962354454e-01;-1.0424910252358723e-01;-1.0424910252340057e-01;1.9718474962326241e-01;-7.1536509639209947e-02;-1.3341161725394990e-01;1.9046985947166206e-01;-3.6387826717782706e-02;-1.5803095936882974e-01;1.7726874669927797e-01;2.2040091546126335e-13;-1.7726874669929976e-01;1.5803095936837583e-01;3.6387826717947713e-02;-1.9046985947166031e-01;1.3341161725371972e-01;7.1536509639436446e-02;-1.9718474962301713e-01;1.0424910252287546e-01;1.0424910252349467e-01;-1.9718474962321555e-01;7.1536509639128415e-02;1.3341161725425743e-01;-1.9046985947197373e-01;3.6387826717779091e-02;1.5803095936889258e-01;-1.7726874669976381e-01;2.7477404417300263e-13;1.7726874669962869e-01;-1.5803095936925676e-01;-3.6387826717682807e-02;1.9046985947203388e-01;-1.3341161725453371e-01;-7.1536509638836482e-02;1.9718474962338570e-01;-1.0424910252392475e-01;-1.0424910252307631e-01;1.9718474962343749e-01;-7.1536509639564441e-02;-1.3341161725387191e-01;1.9046985947188938e-01;-3.6387826718074362e-02;-1.5803095936875239e-01;1.7726874669964054e-01
50,19,3.2204282534146400e+00,9.5044342766451947e-14,3.2204282534146413e+00,1.8236646718140689e-01;-1.4216774533916535e-01;-7.1536509639412910e-02;1.9793558710325335e-01;-8.2768481710336420e-02;-1.3341161725405304e-01;1.8677240918760601e-01;-1.2190875990550524e-02;-1.7726874669947371e-01;1.5038458246995531e-01;6.0033175084029028e-02;-1.9718474962366508e-01;9.3686484580330617e-02;1.2414941320770272e-01;-1.9046985947163672e-01;2.4335507812034592e-02;1.7149858514273617e-01;-1.5803095936875189e-01;-4.8302114132636881e-02;1.9568592284710964e-01;-1.0424910252367400e-01;-1.1441626791268528e-01;1.9344479233801989e-01;-3.6387826717816991e-02;-1.6507787070947760e-01;1.6507787070934787e-01;3.6387826718192344e-02;-1.9344479233837045e-01;1.1441626791298040e-01;1.0424910252317544e-01;-1.9568592284682607e-01;4.8302114132791299e-02;1.5803095936886347e-01;-1.7149858514243579e-01;-2.4335507812575846e-02;1.9046985947230169e-01;-1.2414941320830290e-01;-9.3686484579695278e-02;1.9718474962309490e-01;-6.0033175083622395e-02;-1.5038458247015440e-01;1.7726874669952813e-01;1.2190875990233911e-02;-1.8677240918788038e-01;1.3341161725415387e-01;8.2768481710132430e-02;-1.9793558710322609e-01;7.1536509639119242e-02;1.4216774533913570e-01;-1.8236646718139982e-01
50,20,3.3352904010406816e+00,5.8952842607595812e-14,3.3352904010406812e+00,1.8677240918741578e-01;-1.2414941320773142e-01;-1.0424910252310654e-01;1.9344479233774467e-01;-2.4335507812279934e-02;-1.7726874669968312e-01;1.4216774533923290e-01;8.2768481710495390e-02;-1.9718474962338170e-01;4.8302114132433564e-02;1.6507787070961946e-01;-1.5803095936872935e-01;-6.0033175084470952e-02;1.9793558710337814e-01;-7.1536509639032686e-02;-1.5038458246996828e-01;1.7149858514236802e-01;3.6387826717906961e-02;-1.9568592284714065e-01;9.3686484580047760e-02;1.3341161725411282e-01;-1.8236646718167215e-01;-1.2190875990200462e-02;1.9046985947203005e-01;-1.1441626791311613e-01;-1.1441626791329576e-01;1.9046985947223105e-01;-1.2190875990319570e-02;-1.8236646718153712e-01;1.3341161725406886e-01;9.3686484580008528e-02;-1.9568592284709477e-01;3.6387826717699544e-02;1.7149858514249827e-01;-1.5038458247021377e-01;-7.1536509638851276e-02;1.9793558710320100e-01;-6.0033175084321731e-02;-1.5803095936883399e-01;1.6507787070965257e-01;4.8302114132390682e-02;-1.9718474962350721e-01;8.2768481710551470e-02;1.4216774533898910e-01;-1.7726874669953069e-01;-2.4335507812519547e-02;1.9344479233793682e-01;-1.0424910252324447e-01;-1.2414941320759733e-01;1.8677240918738153e-01
