which,index,eigenvalue,residual,eigenvector
min,1,9.6743541602389979e-04,2.8023915653319076e-16,4.3763573469007434e-03;8.7484808507106073e-03;1.3112140764309221e-02;1.7463115528552724e-02;2.1797195856359843e-02;2.6110188804925775e-02;3.0397921832122390e-02;3.4656246833165198e-02;3.8881044153635504e-02;4.3068226574979537e-02;4.7213743268629579e-02;5.1313583714918468e-02;5.5363781582998345e-02;5.9360418568009506e-02;6.3299628181787318e-02;6.7177599493440862e-02;7.0990580816180787e-02;7.4734883336835062e-02;7.8406884684537020e-02;8.2003032435135487e-02;8.5519847547934583e-02;8.8953927731442797e-02;9.2301950734868923e-02;9.5560677562186391e-02;9.8726955605651243e-02;1.0179772169574704e-01;1.0477000506460447e-01;1.0764093022002570e-01;1.1040771972733844e-01;1.1306769689638434e-01;1.1561828837104435e-01;1.1805702661879455e-01;1.2038155231788329e-01;1.2258961663982346e-01;1.2467908342498990e-01;1.2664793124921406e-01;1.2849425537938214e-01;1.3021626961614022e-01;1.3181230802192914e-01;1.3328082653267012e-01;1.3462040445154666e-01;1.3582974582343685e-01;1.3690768068866846e-01;1.3785316621487570e-01;1.3866528770587619e-01;1.3934325948657639e-01;1.3988642566306542e-01;1.4029426075714688e-01;1.4056637021470589e-01;1.4070249078741812e-01;1.4070249078741948e-01;1.4056637021470952e-01;1.4029426075715284e-01;1.3988642566307408e-01;1.3934325948658799e-01;1.3866528770588984e-01;1.3785316621489235e-01;1.3690768068868708e-01;1.3582974582345755e-01;1.3462040445156898e-01;1.3328082653269505e-01;1.3181230802195626e-01;1.3021626961616944e-01;1.2849425537941314e-01;1.2664793124924767e-01;1.2467908342502551e-01;1.2258961663986044e-01;1.2038155231792100e-01;1.1805702661883372e-01;1.1561828837108425e-01;1.1306769689642443e-01;1.1040771972737877e-01;1.0764093022006627e-01;1.0477000506464536e-01;1.0179772169578757e-01;9.8726955605690961e-02;9.5560677562225249e-02;9.2301950734906782e-02;8.8953927731478727e-02;8.5519847547969069e-02;8.2003032435168627e-02;7.8406884684568703e-02;7.4734883336865260e-02;7.0990580816209140e-02;6.7177599493466980e-02;6.3299628181811188e-02;5.9360418568031571e-02;5.5363781583018717e-02;5.1313583714937550e-02;4.7213743268647274e-02;4.3068226574995906e-02;3.8881044153650790e-02;3.4656246833179381e-02;3.0397921832134810e-02;2.6110188804936450e-02;2.1797195856369057e-02;1.7463115528560776e-02;1.3112140764315116e-02;8.7484808507144688e-03;4.3763573469026420e-03
max,100,3.9990325645839762e+00,4.9960036108132044e-16,4.3763573469009238e-03;-8.7484808507122258e-03;1.3112140764312583e-02;-1.7463115528556412e-02;2.1797195856363232e-02;-2.6110188804927607e-02;3.0397921832123753e-02;-3.4656246833164990e-02;3.8881044153634171e-02;-4.3068226574976380e-02;4.7213743268623820e-02;-5.1313583714908476e-02;5.5363781582983759e-02;-5.9360418567990535e-02;6.3299628181765905e-02;-6.7177599493418047e-02;7.0990580816157209e-02;-7.4734883336811192e-02;7.8406884684513498e-02;-8.2003032435111686e-02;8.5519847547908825e-02;-8.8953927731415416e-02;9.2301950734839808e-02;-9.5560677562157192e-02;9.8726955605622863e-02;-1.0179772169572052e-01;1.0477000506458008e-01;-1.0764093022000196e-01;1.1040771972731531e-01;-1.1306769689636195e-01;1.1561828837102234e-01;-1.1805702661877200e-01;1.2038155231785927e-01;-1.2258961663979953e-01;1.2467908342496448e-01;-1.2664793124918747e-01;1.2849425537935302e-01;-1.3021626961610974e-01;1.3181230802189761e-01;-1.3328082653263776e-01;1.3462040445151391e-01;-1.3582974582340396e-01;1.3690768068863612e-01;-1.3785316621484456e-01;1.3866528770584541e-01;-1.3934325948654636e-01;1.3988642566303652e-01;-1.4029426075711909e-01;1.4056637021468110e-01;-1.4070249078739458e-01;1.4070249078739852e-01;-1.4056637021469276e-01;1.4029426075713997e-01;-1.3988642566306606e-01;1.3934325948658424e-01;-1.3866528770589059e-01;1.3785316621489732e-01;-1.3690768068869594e-01;1.3582974582347140e-01;-1.3462040445158899e-01;1.3328082653272133e-01;-1.3181230802198868e-01;1.3021626961620730e-01;-1.2849425537945589e-01;1.2664793124929447e-01;-1.2467908342507583e-01;1.2258961663991383e-01;-1.2038155231797683e-01;1.1805702661889000e-01;-1.1561828837114069e-01;1.1306769689648015e-01;-1.1040771972743296e-01;1.0764093022011904e-01;-1.0477000506469547e-01;1.0179772169583480e-01;-9.8726955605734440e-02;9.5560677562265453e-02;-9.2301950734943877e-02;8.8953927731513421e-02;-8.5519847548001376e-02;8.2003032435198464e-02;-7.8406884684596348e-02;7.4734883336889865e-02;-7.0990580816230608e-02;6.7177599493485729e-02;-6.3299628181827827e-02;5.9360418568045914e-02;-5.5363781583031485e-02;5.1313583714948853e-02;-4.7213743268657737e-02;4.3068226575005773e-02;-3.8881044153659887e-02;3.4656246833187736e-02;-3.0397921832142571e-02;2.6110188804943341e-02;-2.1797195856374955e-02;1.7463115528565002e-02;-1.3112140764318566e-02;8.7484808507168436e-03;-4.3763573469037080e-03
