n,index,eigenvalue,residual,eigenvector
50,11,2.4418388509486597e+00,1.1564823173178713e-15,1.2414941320788592e-01;-1.9344479233805026e-01;1.7726874669956941e-01;-8.2768481710240954e-02;-4.8302114132708539e-02;1.5803095936887454e-01;-1.9793558710318382e-01;1.5038458246997255e-01;-3.6387826717830384e-02;-9.3686484579841495e-02;1.8236646718133973e-01;-1.9046985947186748e-01;1.1441626791299016e-01;1.2190875990401792e-02;-1.3341161725414183e-01;1.9568592284711245e-01;-1.7149858514248575e-01;7.1536509639177043e-02;6.0033175083989927e-02;-1.6507787070925237e-01;1.9718474962328650e-01;-1.4216774533916388e-01;2.4335507812416498e-02;1.0424910252342577e-01;-1.8677240918788890e-01;1.8677240918785942e-01;-1.0424910252334936e-01;-2.4335507812509101e-02;1.4216774533923793e-01;-1.9718474962331645e-01;1.6507787070922952e-01;-6.0033175083923869e-02;-7.1536509639264653e-02;1.7149858514256483e-01;-1.9568592284715394e-01;1.3341161725412776e-01;-1.2190875990334846e-02;-1.1441626791308447e-01;1.9046985947195244e-01;-1.8236646718138189e-01;9.3686484579826743e-02;3.6387826717894256e-02;-1.5038458247006053e-01;1.9793558710326542e-01;-1.5803095936892209e-01;4.8302114132705402e-02;8.2768481710295563e-02;-1.7726874669965814e-01;1.9344479233814124e-01;-1.2414941320794301e-01
50,12,2.5219821655586814e+00,1.1315022992638054e-14,-1.3341161725458209e-01;1.9718474962387822e-01;-1.5803095936929146e-01;3.6387826717777051e-02;1.0424910252383419e-01;-1.9046985947245487e-01;1.7726874669994491e-01;-7.1536509639114579e-02;-7.1536509639633775e-02;1.7726874670014889e-01;-1.9046985947221917e-01;1.0424910252330184e-01;3.6387826718282050e-02;-1.5803095936946243e-01;1.9718474962361093e-01;-1.3341161725403897e-01;-4.8849287729743489e-13;1.3341161725471917e-01;-1.9718474962358051e-01;1.5803095936873993e-01;-3.6387826717306643e-02;-1.0424910252393775e-01;1.9046985947212847e-01;-1.7726874669938739e-01;7.1536509638664092e-02;7.1536509639703011e-02;-1.7726874669979464e-01;1.9046985947165679e-01;-1.0424910252287356e-01;-3.6387826718316807e-02;1.5803095936908229e-01;-1.9718474962304711e-01;1.3341161725363407e-01;4.8848839644316614e-13;-1.3341161725431375e-01;1.9718474962301652e-01;-1.5803095936835984e-01;3.6387826717341455e-02;1.0424910252350895e-01;-1.9046985947156628e-01;1.7726874669903300e-01;-7.1536509638733009e-02;-7.1536509639252857e-02;1.7726874669923681e-01;-1.9046985947133016e-01;1.0424910252297656e-01;3.6387826717846544e-02;-1.5803095936853090e-01;1.9718474962274951e-01;-1.3341161725377121e-01
50,13,2.6077321080741473e+00,1.6431300764452317e-14,1.4216774533872811e-01;-1.9793558710261439e-01;1.3341161725372794e-01;1.2190875990392546e-02;-1.5038458246965508e-01;1.9718474962279159e-01;-1.2414941320753520e-01;-2.4335507812593100e-02;1.5803095936876052e-01;-1.9568592284672912e-01;1.1441626791253012e-01;3.6387826718189360e-02;-1.6507787070921795e-01;1.9344479233768477e-01;-1.0424910252275654e-01;-4.8302114133172515e-02;1.7149858514249616e-01;-1.9046985947143349e-01;9.3686484579219617e-02;6.0033175084386568e-02;-1.7726874669961734e-01;1.8677240918748059e-01;-8.2768481709755787e-02;-7.1536509639598053e-02;1.8236646718150293e-01;-1.8236646718120003e-01;7.1536509638786966e-02;8.2768481710766603e-02;-1.8677240918820490e-01;1.7726874669959902e-01;-6.0033175083523335e-02;-9.3686484580498358e-02;1.9046985947236761e-01;-1.7149858514249383e-01;4.8302114132233891e-02;1.0424910252403807e-01;-1.9344479233854689e-01;1.6507787070923080e-01;-3.6387826717457453e-02;-1.1441626791354667e-01;1.9568592284754141e-01;-1.5803095936906045e-01;2.4335507812284943e-02;1.2414941320835202e-01;-1.9718474962380739e-01;1.5038458247038197e-01;-1.2190875990373273e-02;-1.3341161725459599e-01;1.9793558710390033e-01;-1.4216774533966844e-01
50,14,2.6987633995915159e+00,9.2518585385429716e-17,1.5038458247001271e-01;-1.9568592284712891e-01;1.0424910252338218e-01;6.0033175083967522e-02;-1.8236646718137137e-01;1.7726874669962586e-01;-4.8302114132722403e-02;-1.1441626791301970e-01;1.9718474962328633e-01;-1.4216774533918361e-01;-1.2190875990388116e-02;1.5803095936891773e-01;-1.9344479233811390e-01;9.3686484579854207e-02;7.1536509639202384e-02;-1.8677240918785853e-01;1.7149858514250899e-01;-3.6387826717844754e-02;-1.2414941320792754e-01;1.9793558710323653e-01;-1.3341161725414483e-01;-2.4335507812455040e-02;1.6507787070923785e-01;-1.9046985947190526e-01;8.2768481710266087e-02;8.2768481710266559e-02;-1.9046985947190520e-01;1.6507787070923702e-01;-2.4335507812453600e-02;-1.3341161725414599e-01;1.9793558710323633e-01;-1.2414941320792661e-01;-3.6387826717845594e-02;1.7149858514250907e-01;-1.8677240918785781e-01;7.1536509639201176e-02;9.3686484579855303e-02;-1.9344479233811387e-01;1.5803095936891728e-01;-1.2190875990387784e-02;-1.4216774533918353e-01;1.9718474962328630e-01;-1.1441626791301990e-01;-4.8302114132721681e-02;1.7726874669962495e-01;-1.8236646718137084e-01;6.0033175083967216e-02;1.0424910252338199e-01;-1.9568592284712855e-01;1.5038458247001255e-01
50,15,2.7947307272414874e+00,1.1102230246251565e-16,1.5803095936891742e-01;-1.9046985947190545e-01;7.1536509639201815e-02;1.0424910252338222e-01;-1.9718474962328605e-01;1.3341161725414544e-01;3.6387826717845226e-02;-1.7726874669962581e-01;1.7726874669962528e-01;-3.6387826717844678e-02;-1.3341161725414583e-01;1.9718474962328597e-01;-1.0424910252338175e-01;-7.1536509639202633e-02;1.9046985947190537e-01;-1.5803095936891667e-01;-8.4774813194042296e-16;1.5803095936891776e-01;-1.9046985947190490e-01;7.1536509639200885e-02;1.0424910252338297e-01;-1.9718474962328650e-01;1.3341161725414527e-01;3.6387826717845705e-02;-1.7726874669962570e-01;1.7726874669962495e-01;-3.6387826717844442e-02;-1.3341161725414571e-01;1.9718474962328608e-01;-1.0424910252338170e-01;-7.1536509639202175e-02;1.9046985947190517e-01;-1.5803095936891706e-01;-4.1159827932315876e-16;1.5803095936891756e-01;-1.9046985947190517e-01;7.1536509639201593e-02;1.0424910252338254e-01;-1.9718474962328666e-01;1.3341161725414533e-01;3.6387826717846239e-02;-1.7726874669962625e-01;1.7726874669962572e-01;-3.6387826717844692e-02;-1.3341161725414644e-01;1.9718474962328669e-01;-1.0424910252338235e-01;-7.1536509639201953e-02;1.9046985947190531e-01;-1.5803095936891740e-01
50,16,2.8952700540789880e+00,8.7892656116158222e-17,-1.6507787070923732e-01;1.8236646718137148e-01;-3.6387826717845080e-02;-1.4216774533918333e-01;1.9344479233811321e-01;-7.1536509639201745e-02;-1.1441626791301981e-01;1.9793558710323605e-01;-1.0424910252338176e-01;-8.2768481710266475e-02;1.9568592284712877e-01;-1.3341161725414510e-01;-4.8302114132722292e-02;1.8677240918785795e-01;-1.5803095936891703e-01;-1.2190875990388773e-02;1.7149858514250904e-01;-1.7726874669962500e-01;2.4335507812453413e-02;1.5038458247001310e-01;-1.9046985947190487e-01;6.0033175083967473e-02;1.2414941320792647e-01;-1.9718474962328558e-01;9.3686484579853693e-02;9.3686484579853915e-02;-1.9718474962328561e-01;1.2414941320792661e-01;6.0033175083967473e-02;-1.9046985947190481e-01;1.5038458247001241e-01;2.4335507812453996e-02;-1.7726874669962550e-01;1.7149858514250896e-01;-1.2190875990388182e-02;-1.5803095936891737e-01;1.8677240918785790e-01;-4.8302114132721931e-02;-1.3341161725414596e-01;1.9568592284712946e-01;-8.2768481710266489e-02;-1.0424910252338297e-01;1.9793558710323694e-01;-1.1441626791301979e-01;-7.1536509639202814e-02;1.9344479233811421e-01;-1.4216774533918358e-01;-3.6387826717845337e-02;1.8236646718137237e-01;-1.6507787070923804e-01
50,17,3.0000000000000000e+00,9.2518585385429716e-17,1.7149858514250893e-01;-1.7149858514250893e-01;-0.0000000000000000e+00;1.7149858514250890e-01;-1.7149858514250885e-01;-0.0000000000000000e+00;1.7149858514250874e-01;-1.7149858514250882e-01;-0.0000000000000000e+00;1.7149858514250865e-01;-1.7149858514250882e-01;-0.0000000000000000e+00;1.7149858514250893e-01;-1.7149858514250887e-01;-0.0000000000000000e+00;1.7149858514250887e-01;-1.7149858514250876e-01;-2.2204460492503131e-16;1.7149858514250932e-01;-1.7149858514250904e-01;-3.3306690738754696e-16;1.7149858514250921e-01;-1.7149858514250838e-01;-3.3306690738754696e-16;1.7149858514250915e-01;-1.7149858514250860e-01;-1.1102230246251565e-16;1.7149858514250893e-01;-1.7149858514250882e-01;-2.2204460492503131e-16;1.7149858514250893e-01;-1.7149858514250871e-01;-0.0000000000000000e+00;1.7149858514250868e-01;-1.7149858514250885e-01;-0.0000000000000000e+00;1.7149858514250893e-01;-1.7149858514250893e-01;1.9417237422274671e-16;1.7149858514250871e-01;-1.7149858514250882e-01;2.0150219558990446e-16;1.7149858514250851e-01;-1.7149858514250890e-01;2.0857458796268984e-16;1.7149858514250838e-01;-1.7149858514250876e-01;4.3082981633150479e-16;1.7149858514250829e-01;-1.7149858514250849e-01
50,18,3.1085232884469236e+00,1.2397490441647582e-14,1.7726874669964190e-01;-1.5803095936895820e-01;-3.6387826717792358e-02;1.9046985947188205e-01;-1.3341161725418776e-01;-7.1536509639112247e-02;1.9718474962322022e-01;-1.0424910252340266e-01;-1.0424910252328479e-01;1.9718474962319130e-01;-7.1536509639186258e-02;-1.3341161725407577e-01;1.9046985947181247e-01;-3.6387826717797195e-02;-1.5803095936890216e-01;1.7726874669957410e-01;5.4765066823624347e-14;-1.7726874669966861e-01;1.5803095936893835e-01;3.6387826717866646e-02;-1.9046985947197953e-01;1.3341161725423936e-01;7.1536509639159626e-02;-1.9718474962334498e-01;1.0424910252351328e-01;1.0424910252327506e-01;-1.9718474962328833e-01;7.1536509639311116e-02;1.3341161725401435e-01;-1.9046985947184372e-01;3.6387826717880156e-02;1.5803095936882663e-01;-1.7726874669953682e-01;-5.1997136370235007e-14;1.7726874669962828e-01;-1.5803095936886474e-01;-3.6387826717945826e-02;1.9046985947200928e-01;-1.3341161725417985e-01;-7.1536509639282514e-02;1.9718474962344312e-01;-1.0424910252350576e-01;-1.0424910252338621e-01;1.9718474962341578e-01;-7.1536509639359938e-02;-1.3341161725406714e-01;1.9046985947194300e-01;-3.6387826717954944e-02;-1.5803095936880793e-01;1.7726874669956330e-01
50,19,3.2204282534146413e+00,3.4416913763379853e-15,1.8236646718139191e-01;-1.4216774533919330e-01;-7.1536509639226059e-02;1.9793558710327974e-01;-8.2768481710286876e-02;-1.3341161725417330e-01;1.8677240918791330e-01;-1.2190875990424193e-02;-1.7726874669963613e-01;1.5038458247005157e-01;6.0033175083941404e-02;-1.9718474962329122e-01;9.3686484579870652e-02;1.2414941320793130e-01;-1.9046985947193418e-01;2.4335507812476353e-02;1.7149858514252503e-01;-1.5803095936896730e-01;-4.8302114132678667e-02;1.9568592284712824e-01;-1.0424910252341964e-01;-1.1441626791298234e-01;1.9344479233810705e-01;-3.6387826717862524e-02;-1.6507787070922886e-01;1.6507787070925473e-01;3.6387826717821668e-02;-1.9344479233811882e-01;1.1441626791306195e-01;1.0424910252333719e-01;-1.9568592284712419e-01;4.8302114132763904e-02;1.5803095936886660e-01;-1.7149858514249300e-01;-2.4335507812428183e-02;1.9046985947187078e-01;-1.2414941320791771e-01;-9.3686484579838705e-02;1.9718474962327695e-01;-6.0033175083984987e-02;-1.5038458246998493e-01;1.7726874669962339e-01;1.2190875990350453e-02;-1.8677240918780799e-01;1.3341161725412795e-01;8.2768481710236555e-02;-1.9793558710318809e-01;7.1536509639177445e-02;1.4216774533917109e-01;-1.8236646718134872e-01
50,20,3.3352904010406808e+00,1.6653345369377348e-16,1.8677240918785798e-01;-1.2414941320792745e-01;-1.0424910252338160e-01;1.9344479233811274e-01;-2.4335507812453670e-02;-1.7726874669962517e-01;1.4216774533918178e-01;8.2768481710267613e-02;-1.9718474962328619e-01;4.8302114132720890e-02;1.6507787070923849e-01;-1.5803095936891742e-01;-6.0033175083968611e-02;1.9793558710323639e-01;-7.1536509639200774e-02;-1.5038458247001407e-01;1.7149858514250860e-01;3.6387826717846662e-02;-1.9568592284713013e-01;9.3686484579853804e-02;1.3341161725414705e-01;-1.8236646718137189e-01;-1.2190875990389281e-02;1.9046985947190645e-01;-1.1441626791301920e-01;-1.1441626791302160e-01;1.9046985947190584e-01;-1.2190875990387517e-02;-1.8236646718137278e-01;1.3341161725414630e-01;9.3686484579854484e-02;-1.9568592284712988e-01;3.6387826717846419e-02;1.7149858514250824e-01;-1.5038458247001324e-01;-7.1536509639201246e-02;1.9793558710323575e-01;-6.0033175083967487e-02;-1.5803095936891776e-01;1.6507787070923741e-01;4.8302114132721820e-02;-1.9718474962328617e-01;8.2768481710266781e-02;1.4216774533918247e-01;-1.7726874669962484e-01;-2.4335507812453559e-02;1.9344479233811160e-01;-1.0424910252338100e-01;-1.2414941320792661e-01;1.8677240918785668e-01
