n,lambda_min,lambda_max,rotations,sweeps,off_diagonal_norm,max_residual,orthogonality_error,max_exact_eigenvalue_error,max_exact_vector_angle_error
63,2.0024090875896552e+00,5.9975909124103426e+00,7055,3.61239119,1.1118322720795622e-11,1.3769808837279236e-13,2.2145474345342055e-14,7.9936057773011271e-15,0.0000000000000000e+00
64,2.0023355463353467e+00,5.9976644536646484e+00,7223,3.58283730,1.1127498097026830e-11,1.1080025785759062e-13,2.0226425903613402e-14,8.8817841970012523e-15,0.0000000000000000e+00
65,2.0022653216339847e+00,5.9977346783660126e+00,7434,3.57403846,1.1271163987791307e-11,1.3697376566312869e-13,2.2346722884428151e-14,8.8817841970012523e-15,0.0000000000000000e+00
66,2.0021982170285795e+00,5.9978017829714148e+00,7653,3.56783217,1.1386447659787111e-11,1.1463284025718204e-13,2.2502920188841032e-14,1.1546319456101628e-14,0.0000000000000000e+00
67,2.0021340503952580e+00,5.9978659496047442e+00,7967,3.60334690,1.1391056562192012e-11,1.0521213530031066e-13,2.1434227567886570e-14,6.2172489379008766e-15,1.1102230246251565e-16
68,2.0020726527065449e+00,5.9979273472934604e+00,8190,3.59525900,1.1509481057692127e-11,1.1265062956529921e-13,2.1666050348683817e-14,7.1054273576010019e-15,2.2204460492503131e-16
69,2.0020138669173715e+00,5.9979861330826303e+00,8445,3.59974425,1.1558518968085754e-11,1.1886787850320010e-13,2.2985833131365470e-14,1.1546319456101628e-14,0.0000000000000000e+00
70,2.0019575469600519e+00,5.9980424530399477e+00,8616,3.56770186,1.1683236435191754e-11,1.1487107561454954e-13,2.2900012898759677e-14,7.1054273576010019e-15,0.0000000000000000e+00
71,2.0019035568362842e+00,5.9980964431637123e+00,8980,3.61368209,1.1806080125696441e-11,1.3285668861347707e-13,2.2955078895837979e-14,8.8817841970012523e-15,4.4408920985006262e-16
72,2.0018517697955405e+00,5.9981482302044640e+00,9169,3.58724570,1.1908902254712114e-11,1.0993058315496758e-13,2.3911493171654576e-14,7.9936057773011271e-15,0.0000000000000000e+00
73,2.0018020675906398e+00,5.9981979324093588e+00,9476,3.60578387,1.1985152399719460e-11,1.1065222812097393e-13,2.3706517056636824e-14,1.1546319456101628e-14,0.0000000000000000e+00
74,2.0017543398022832e+00,5.9982456601977132e+00,9728,3.60162903,1.1997772018325542e-11,1.2113458384514311e-13,2.5052523528336402e-14,6.2172489379008766e-15,0.0000000000000000e+00
75,2.0017084832253982e+00,5.9982915167746071e+00,9927,3.57729730,1.2158564179812701e-11,1.6830981053317373e-13,2.4887671915629453e-14,8.8817841970012523e-15,0.0000000000000000e+00
76,2.0016644013108333e+00,5.9983355986891702e+00,10237,3.59192982,1.2216661386894945e-11,1.4262665123017845e-13,2.4853690390118843e-14,7.9936057773011271e-15,0.0000000000000000e+00
77,2.0016220036568608e+00,5.9983779963431374e+00,10492,3.58578264,1.2313754438963919e-11,1.1115645441132453e-13,2.6959714034450263e-14,8.8817841970012523e-15,0.0000000000000000e+00
78,2.0015812055453956e+00,5.9984187944545999e+00,10780,3.58974359,1.2328369904538571e-11,1.0018837611388183e-13,2.5794689871293709e-14,9.7699626167013776e-15,0.0000000000000000e+00
79,2.0015419275185540e+00,5.9984580724814478e+00,11068,3.59234015,1.2423623619739679e-11,1.1933047143012723e-13,2.6824344938364903e-14,9.7699626167013776e-15,0.0000000000000000e+00
80,2.0015040949915419e+00,5.9984959050084603e+00,11301,3.57626582,1.2488685612203686e-11,1.2086627994752538e-13,2.6167787915458914e-14,7.9936057773011271e-15,0.0000000000000000e+00
81,2.0014676378983807e+00,5.9985323621016198e+00,11635,3.59104938,1.2599723057054765e-11,1.0833001162779965e-13,2.7586031726690910e-14,7.9936057773011271e-15,0.0000000000000000e+00
82,2.0014324903673368e+00,5.9985675096326654e+00,11835,3.56368564,1.2697498452612334e-11,1.3760289204374962e-13,2.8907456416945695e-14,8.8817841970012523e-15,0.0000000000000000e+00
83,2.0013985904232001e+00,5.9986014095767910e+00,12174,3.57743168,1.2737838977423355e-11,9.7415131516953579e-14,2.8997232966934411e-14,7.9936057773011271e-15,0.0000000000000000e+00
84,2.0013658797139549e+00,5.9986341202860478e+00,12438,3.56798623,1.2852648067752971e-11,1.1513012765362873e-13,2.8575838346532170e-14,9.7699626167013776e-15,0.0000000000000000e+00
85,2.0013343032595197e+00,5.9986656967404777e+00,12724,3.56414566,1.2953749568014683e-11,1.0310502451815751e-13,2.8449555866937699e-14,7.9936057773011271e-15,0.0000000000000000e+00
86,2.0013038092206474e+00,5.9986961907793530e+00,13042,3.56826265,1.2985369020707771e-11,1.1652715829294871e-13,2.8315227549632819e-14,1.4210854715202004e-14,0.0000000000000000e+00
87,2.0012743486860169e+00,5.9987256513139817e+00,13470,3.60064154,1.3099171425055936e-11,1.2192099182091928e-13,3.0607117958707678e-14,1.1546319456101628e-14,0.0000000000000000e+00
88,2.0012458754760445e+00,5.9987541245239573e+00,13705,3.58019854,1.3154531581332078e-11,1.2911893776390571e-13,2.9031609977708196e-14,7.9936057773011271e-15,0.0000000000000000e+00
